id,value,student_id,remarkable_type,remarkable_id,created_at,updated_at
75995,5.3,75996,Course,213,2022-03-03 09:44:20.053849,2022-03-03 09:44:20.053849
75996,8.3,75997,Course,213,2022-03-03 09:44:21.339079,2022-03-03 09:44:21.339079
75997,2.0,75998,Course,213,2022-03-03 09:44:22.608382,2022-03-03 09:44:22.608382
75998,6.5,75999,Course,213,2022-03-03 09:44:23.943442,2022-03-03 09:44:23.943442
75999,0.2,76000,Course,213,2022-03-03 09:44:25.113696,2022-03-03 09:44:25.113696
76000,1.9,76001,Course,213,2022-03-03 09:44:26.354018,2022-03-03 09:44:26.354018
76001,4.3,76002,Course,213,2022-03-03 09:44:27.61587,2022-03-03 09:44:27.61587
76002,2.6,76003,Course,213,2022-03-03 09:44:28.824394,2022-03-03 09:44:28.824394
76003,7.2,76004,Course,213,2022-03-03 09:44:30.146167,2022-03-03 09:44:30.146167
76004,2.4,76005,Course,213,2022-03-03 09:44:31.356042,2022-03-03 09:44:31.356042
76005,8.5,76006,Course,213,2022-03-03 09:44:32.642096,2022-03-03 09:44:32.642096
76006,1.1,76007,Course,213,2022-03-03 09:44:33.884802,2022-03-03 09:44:33.884802
76007,8.1,76008,Course,213,2022-03-03 09:44:35.124537,2022-03-03 09:44:35.124537
76008,2.7,76009,Course,213,2022-03-03 09:44:36.419931,2022-03-03 09:44:36.419931
76009,8.0,76010,Course,213,2022-03-03 09:44:37.770221,2022-03-03 09:44:37.770221
76010,5.6,76011,Course,213,2022-03-03 09:44:39.000507,2022-03-03 09:44:39.000507
76011,5.3,76012,Course,213,2022-03-03 09:44:40.30028,2022-03-03 09:44:40.30028
76012,9.4,76013,Course,213,2022-03-03 09:44:41.575761,2022-03-03 09:44:41.575761
76013,6.3,76014,Course,213,2022-03-03 09:44:42.849031,2022-03-03 09:44:42.849031
76014,9.6,76015,Course,213,2022-03-03 09:44:44.170188,2022-03-03 09:44:44.170188
76015,5.5,76016,Course,213,2022-03-03 09:44:45.449216,2022-03-03 09:44:45.449216
76016,3.3,76017,Course,213,2022-03-03 09:44:46.799408,2022-03-03 09:44:46.799408
76017,4.5,76018,Course,213,2022-03-03 09:44:48.101635,2022-03-03 09:44:48.101635
76018,8.1,76019,Course,213,2022-03-03 09:44:49.316797,2022-03-03 09:44:49.316797
76019,0.8,76020,Course,213,2022-03-03 09:44:50.54427,2022-03-03 09:44:50.54427
76020,2.3,76021,Course,213,2022-03-03 09:44:51.753665,2022-03-03 09:44:51.753665
76021,8.3,76022,Course,213,2022-03-03 09:44:53.135966,2022-03-03 09:44:53.135966
76022,5.5,76023,Course,213,2022-03-03 09:44:54.428687,2022-03-03 09:44:54.428687
76023,2.1,76024,Course,213,2022-03-03 09:44:55.701044,2022-03-03 09:44:55.701044
